,precision,recall,f1-score,support
1.0,0.7700473128715274,0.7707641868372055,0.7704055830889046,49412.0
2.0,0.186754595201347,0.4410205434062293,0.2623952686052243,3018.0
3.0,0.3658307413167444,0.6365789028584316,0.4646406452542129,17737.0
4.0,0.7255889410889917,0.4580426294565704,0.5615779010149629,46869.0
accuracy,0.6166905909292867,0.6166905909292867,0.6166905909292867,0.6166905909292867
macro avg,0.5120553976196527,0.5766015656396092,0.5147548494908262,117036.0
weighted avg,0.6759421983881936,0.6166905909292867,0.6273378734729809,117036.0
